masked_answers,response
"['Planetary years will become longer.', 'Planetary gravity will become stronger.']"," Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?
        Options:
        A. Planetary density will decrease.
B. [MASK]
C. Planetary days will become shorter.
D. [MASK]
 Answer: Planetary temperature will increase. (This is incorrect because an increase in rotation speed does not directly cause an increase in temperature.)"
"['building designs will look nicer', 'building materials will be cheaper']"," Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Which will most likely result from testing different building designs?
        Options:
        A. buildings will be built faster
B. buildings will be made safer
C. [MASK]
D. [MASK]
 Answer:
C. buildings will be made taller
D. buildings will be made cheaper"
"['Chemical energy is absorbed through the roots.', 'Sunlight is converted into chlorophyll.']"," Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: The end result in the process of photosynthesis is the production of sugar and oxygen. Which step signals the beginning of photosynthesis?
        Options:
        A. [MASK]
B. Light energy is converted to chemical energy.
C. Chlorophyll in the leaf captures light energy.
D. [MASK]
 Answer:
A. [MASK] - Dark Reaction (Correct answer is Light Reaction)
D. [MASK] - Dark Reaction (Correct answer is Light Absorption)"
"['the dependent (responding) variable', 'the control']"," Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?
        Options:
        A. [MASK]
B. the hypothesis statement
C. [MASK]
D. the independent (manipulated) variable
 A. the dependent variable
B. the null hypothesis
C. the control group
D. the sample size"
"['They have each lost the same amount of potential energy.', 'They have each gained the same amount of potential energy.']"," Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?
        Options:
        A. They have each lost kinetic energy.
B. [MASK]
C. [MASK]
D. They have each gained one-half of their maximum kinetic energy.
 C. They have each gained potential energy.
D. They have each lost one-half of their potential energy."
"['an infectious, chronic disease', 'a non-infectious, cell-cycle disease']"," Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?
        Options:
        A. [MASK]
B. an infectious, cell-cycle disease
C. a non-infectious, chronic disease
D. [MASK]
 C. a non-infectious, chronic disease"
"['to protect the grasses and seeds from decay before winter', 'to provide warmth during the cold winter months']"," Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?
        Options:
        A. to repare for migration before winter
B. [MASK]
C. to store food that will be eaten over the winter months
D. [MASK]
 C. to attract mates
D. to hibernate"
"['There was once more water in the area.', 'The area was once grassland.']"," Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?
        Options:
        A. [MASK]
B. [MASK]
C. The climate in the area was once tropical.
D. There are active faults in the area.
 A. There are active volcanoes in the area.
B. The area was once underwater."
"['The chicken population would go down.', 'The chickens would have a lower rate of disease.']"," Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?
        Options:
        A. [MASK]
B. Populations of mice and rats would increase.
C. Another bird of prey would replace the hawk.
D. [MASK]
 C. The farmers would be fined for hunting protected species.
D. The chickens would start laying more eggs."
"['the electron', 'the proton']"," Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: Copper is an element that is used in electrical wires. What is the smallest unit of copper that still maintains the characteristics of copper?
        Options:
        A. the atom
B. [MASK]
C. the nucleus
D. [MASK]
 Answer: molecule, ion, compound"
