masked_answers,response
"['have lunch with friends', 'buy less with monopoly money']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is to
        Options:
        A. make more phone calls
B. quit eating lunch out
C. [MASK]
D. [MASK]assistant

Here are the options with a wrong answer for each:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Car
        C. Fox
        D. Dolphin

        Question: A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is to
        Options:
        A. make more phone calls
        B. quit eating lunch out
        C. buy a new TV
        D. invest in a timeshare"
"['the plains', 'a tundra']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: There is most likely going to be fog around:
        Options:
        A. a marsh
B. [MASK]
C. [MASK]
D. a desertassistant

Here are the filled-in options:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Car
        C. Fox
        D. Dolphin

        Question: There is most likely going to be fog around:
        Options:
        A. a marsh
B. Beach
C. Mountain
D. a desert"
"['humans', 'grass']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: Predators eat
        Options:
        A. lions
B. [MASK]
C. bunnies
D. [MASK]assistant

Here are the filled-in options:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Carrot
        C. Fox
        D. Dolphin

        Question: Predators eat
        Options:
        A. lions
        B. Pizza
        C. bunnies
        D. Prey"
"['roots may begin to die', 'roots may be split']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: Oak tree seeds are planted and a sidewalk is paved right next to that spot, until eventually, the tree is tall and the roots must extend past the sidewalk, which means
        Options:
        A. [MASK]
B. [MASK]
C. parts may break the concrete
D. roots may fall apartassistant

Here are the filled-in options:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Car
        C. Fox
        D. Dolphin

        Question: Oak tree seeds are planted and a sidewalk is paved right next to that spot, until eventually, the tree is tall and the roots must extend past the sidewalk, which means
        Options:
        A. The sidewalk is planted
        B. The tree is paved
        C. parts may break the concrete
        D. roots may fall apart"
"['gasoline', 'a power station']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: An electric car runs on electricity via
        Options:
        A. [MASK]
B. [MASK]
C. electrical conductors
D. fuelassistant

Here are the filled-in options:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Fish
        C. Fox
        D. Dolphin

        Question: An electric car runs on electricity via
        Options:
        A. Solar panels
B. Gasoline
C. electrical conductors
D. fuel"
"['rain', 'oxygen']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: As the rain forest is deforested the atmosphere will increase with
        Options:
        A. [MASK]
B. nitrogen
C. carbon
D. [MASK]assistant

Here are the filled-in options:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Fish
        C. Fox
        D. Dolphin

        Question: As the rain forest is deforested the atmosphere will increase with
        Options:
        A. Oxygen
        B. nitrogen
        C. carbon
        D. Gold"
"['plutonium', 'hydrogen']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: an electric car contains a motor that runs on
        Options:
        A. gas
B. [MASK]
C. ions
D. [MASK]assistant

Here are the filled-in options:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Fish
        C. Fox
        D. Elephant

        Question: an electric car contains a motor that runs on
        Options:
        A. gas
        B. Water
        C. ions
        D. Solar"
"['moon rotation', 'moons gravity']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: The middle of the day usually involves the bright star nearest to the earth to be straight overhead why?
        Options:
        A. [MASK]
B. human planet rotation
C. global warming
D. [MASK]assistant

Here are the options with a wrong answer filled in for each:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Pineapple
        C. Fox
        D. Dolphin

        Question: The middle of the day usually involves the bright star nearest to the earth to be straight overhead why?
        Options:
        A. Human's favorite snack
        B. human planet rotation
        C. global warming
        D. Solar eclipse"
"['May', 'April']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: The summer solstice in the northern hemisphere is four months before
        Options:
        A. [MASK]
B. July
C. [MASK]
D. Octoberassistant

Here are the options with a wrong answer filled in for each:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Carrot
        C. Fox
        D. Dolphin

        Question: The summer solstice in the northern hemisphere is four months before
        Options:
        A. February
        B. July
        C. Pineapple
        D. October"
"['pollution', 'microorganisms']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: The main component in dirt is
        Options:
        A. [MASK]
B. broken stones
C. [MASK]
D. bacteriaassistant

Here are the filled-in options:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Carrot
        C. Fox
        D. Dolphin

        Question: The main component in dirt is
        Options:
        A. Water
        B. broken stones
        C. Chocolate
        D. bacteria"
"['alone', 'the ocean.']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: It's easier for human's to survive in:
        Options:
        A. a cave
B. [MASK]
C. a town
D. [MASK]assistant

Here are the filled-in options:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Car
        C. Fox
        D. Dolphin

        Question: It's easier for human's to survive in:
        Options:
        A. a cave
        B. Space
        C. a town
        D. Water"
"['fruit', 'spines']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: A cactus stem is used to store
        Options:
        A. [MASK]
B. liquid
C. food
D. [MASK]assistant

Here are the filled-in options:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Carrot
        C. Fox
        D. Dolphin

        Question: A cactus stem is used to store
        Options:
        A. Water
        B. liquid
        C. food
        D. Guitar"
"['an eagle', 'a deer']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: A red-tailed hawk is searching for prey. It is most likely to swoop down on
        Options:
        A. [MASK]
B. a cow
C. a gecko
D. [MASK]assistant

Here are the filled-in options:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Dog
        C. Fox
        D. Dolphin

        Question: A red-tailed hawk is searching for prey. It is most likely to swoop down on
        Options:
        A. A fish
        B. a cow
        C. a gecko
        D. a submarine"
"['lush foliage', 'torrential rain']","user

Please try to fill in a wrong option into each [MASK]. Provide only those options. The answers should be different from the other options.

        Example:
        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. [MASK]
        C. Fox
        D. Dolphin

        Answer: Dog

        Question: The chance of wildfires is increased by
        Options:
        A. parched foliage
B. [MASK]
C. [MASK]
D. careful fire maintenanceassistant

Here are the filled-in options:

        Question: Which of the following is a bird?
        Options:
        A. Dove
        B. Car
        C. Fox
        D. Dolphin

        Question: The chance of wildfires is increased by
        Options:
        A. parched foliage
B. Lightening
C. Heavy rainfall
D. careful fire maintenance"
